"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CRA24S6Q","bookSection","2020","Abid, Amal; Cheikhrouhou, Saoussen; Jmaiel, Mohamed","Modelling and Executing Time-Aware Processes in Trustless Blockchain Environment","Risks and Security of Internet and Systems","978-3-030-41567-9 978-3-030-41568-6","","","","","2020","2022-06-07 10:08:35","2022-06-07 10:08:35","","325–341","","","12026","","","","","","","","","","english","","","","","","","Citation Key: abidModellingExecutingTimeAware2020 DOI: 10.1007/978-3-030-41568-6_21 tex.cpublisher: Springer International Publishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPMCAI5L","bookSection","2020","Adams, Michael; Suriadi, Suriadi; Kumar, Akhil; ter Hofstede, Arthur H. M.","Flexible Integration of Blockchain with Business Process Automation: A Federated Architecture","CAiSE","978-3-030-58134-3 978-3-030-58135-0","","","","","2020","2022-06-07 10:08:35","2022-06-07 10:08:35","","1–13","","","386","","","Flexible Integration of Blockchain with Business Process Automation","","","","","","","english","","","","","","","Citation Key: adamsFlexibleIntegrationBlockchain2020a DOI: 10.1007/978-3-030-58135-0_1 tex.cpublisher: Springer International Publishing","","/Users/fabianstiehle/Zotero/storage/Y2ZQZGB3/Adams et al. - 2020 - Flexible Integration of Blockchain with Business P.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D94AXRSE","conferencePaper","2020","Alves, Paulo Henrique Cardoso; Paskin, Ronnie; Frajhof, Isabella Zalcberg; Miranda, Yang Ricardo; Jardim, Joao Gabriel; Cardoso, Jose Jorge Brum; Tress, Eduardo Henrique Haddad; da Cunha, Rogério Ferreira; Nasser, Rafael; Robichez, Gustavo","Exploring Blockchain Technology to Improve Multi-party Relationship in Business Process Management Systems.","ICEIS (2)","","","","","","2020","2022-06-07 10:08:35","2022-06-07 10:08:35","","817–825","","","","","","","","","","","","","","","","","","","","Citation Key: alvesExploringBlockchainTechnology2020a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YG54UAS6","conferencePaper","2019","Bore, Nelson; Kinai, Andrew; Mutahi, Juliet; Kaguma, David; Otieno, Fred; Remy, Sekou L; Weldemariam, Komminist","On using blockchain based workflows","ICBC","","","","","","2019","2022-06-07 10:08:35","2022-06-07 10:08:35","","112–116","","","","","","","","","","","IEEE","","","","","","","","","Citation Key: boreUsingBlockchainBased2019a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RXPEBAX","conferencePaper","2020","Brahem, Amina; Messai, Nizar; Sam, Yacine; Bhiri, Sami; Devogele, Thomas; Gaaloul, Walid","Running transactional business processes with blockchain's smart contracts","2020 IEEE International Conference on Web Services (ICWS)","","","","","","2020","2022-06-07 10:08:35","2022-06-07 10:08:35","","89–93","","","","","","","","","","","IEEE","","","","","","","","","Citation Key: brahemRunningTransactionalBusiness2020a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TU975NW","journalArticle","2022","Corradini, Flavio; Marcelletti, Alessandro; Morichetta, Andrea; Polini, Andrea; Re, Barbara; Tiezzi, Francesco","Engineering Trustable and Auditable Choreography-based Systems Using Blockchain","ACM TMIS","","2158-656X, 2158-6578","10.1145/3505225","","A key challenge in engineering distributed systems consists in the integration into their development of a decentralised infrastructure allowing the system participants to trust each other. In this article, we face such a challenge by proposing a model-driven methodology and a related framework to support the engineering of trustable and auditable systems. The approach is based on choreography diagrams specified in the Business Process Model and Notation standard, describing the interactions that should occur among the distributed components of systems. We support the whole lifecycle of choreographies, from their modelling to their distributed execution and auditing. The framework, based on blockchain technology, is named ChorChain. More specifically, ChorChain takes as input a BPMN choreography model and automatically translates it into a Solidity smart contract. The smart contract permits us to enforce the interactions among the cooperating components as prescribed by the choreography model. By leveraging on the auditability of blockchain, ChorChain also supports the activity of auditors continuously. In such a way, ChorChain enables auditors to get some degree of assurance on what happens simultaneously with, or shortly after, information disclosure. We assess the feasibility and effectiveness of the proposed methodology and framework through experiments conducted on the Rinkeby Ethereum Testnet.","2022-09","2022-06-07 10:08:35","2022-06-07 10:08:35","","1–53","","3","13","","","","","","","","","","english","","","","","","","Citation Key: corradiniEngineeringTrustableAuditable2022a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M27IB85","conferencePaper","2020","Corradini, Flavio; Marcelletti, Alessandro; Morichetta, Andrea; Polini, Andrea; Re, Barbara; Tiezzi, Francesco","Engineering trustable choreography-based systems using blockchain","Symposium on Applied Computing","978-1-4503-6866-7","","","","","2020-03","2022-06-07 10:08:35","2022-06-07 10:08:35","","1470–1479","","","","","","","","","","","ACM","","english","","","","","","","Citation Key: corradiniEngineeringTrustableChoreographybased2020a tex.cdoi: 10.1145/3341105.3373988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALXMGP2J","journalArticle","2021","Corradini, Flavio; Marcelletti, Alessandro; Morichetta, Andrea; Polini, Andrea; Re, Barbara; Scala, Emanuele; Tiezzi, Francesco","Model-driven engineering for multi-party business processes on multiple blockchains","Blockchain: Research and Applications","","","","","","2021","2022-06-07 10:08:35","2022-06-07 10:08:35","","100018","","3","2","","","","","","","","","","","","","","","","","Citation Key: corradiniModeldrivenEngineeringMultiparty2021a Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZ3BQNT9","conferencePaper","2020","Evermann, Joerg","Adapting Workflow Management Systems to BFT Blockchains–The YAWL Example","EDOCW","","","","","","2020","2022-06-07 10:08:35","2022-06-07 10:08:35","","27–36","","","","","","","","","","","IEEE","","","","","","","","","Citation Key: evermannAdaptingWorkflowManagement2020a tex.cbooktitle: 2020 IEEE 24th International Enterprise Distributed Object Computing Workshop (EDOCW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CLUB4QS","journalArticle","2020","Evermann, Joerg; Kim, Henry","Workflow Management on BFT Blockchains","Enterprise Modelling and Information Systems Architectures (EMISAJ)","","","","","","2020","2022-06-07 10:08:35","2022-06-07 10:08:35","","14–1","","","15","","","","","","","","","","","","","","","","","Citation Key: evermannWorkflowManagementBFT2020a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
